"","employees","salaries_2017","adjustments","salaries_2018","got_raise"
"68","Employee 68",45606.6670198925,2260.88733877987,47867.5543586724,TRUE
"69","Employee 69",45863.2373227738,-2487.60786140338,43375.6294613704,FALSE
"70","Employee 70",48615.437829867,-3544.42177340388,45071.0160564631,FALSE
"71","Employee 71",47775.1947706565,-2427.15819040313,45348.0365802534,FALSE
"72","Employee 72",46777.2656097077,5291.10359610058,52068.3692058083,TRUE
"73","Employee 73",47096.6193336062,-3884.97414416634,43211.6451894399,FALSE
"74","Employee 74",48056.5375206061,2430.56253995746,50487.1000605635,TRUE
"75","Employee 75",47036.7924356833,2444.75389830768,49481.546333991,TRUE
"76","Employee 76",43604.3282831088,1959.18361190706,45563.5118950158,TRUE
"77","Employee 77",41451.708630193,4379.70645958558,45831.4150897786,TRUE
"78","Employee 78",46701.1838709004,2769.33200308122,49470.5158739816,TRUE
"79","Employee 79",40003.2750586979,3806.64784810506,43809.922906803,TRUE
"80","Employee 80",49642.2565006651,-2697.90007849224,46944.3564221729,FALSE
"81","Employee 81",45179.4238109142,-4354.61718356237,40824.8066273518,FALSE
"82","Employee 82",46241.9695500284,2381.13169791177,48623.1012479402,TRUE
"83","Employee 83",46185.8627106994,1064.44647186436,47250.3091825638,TRUE
"84","Employee 84",40365.5706648715,6667.40026790649,47032.970932778,TRUE
"85","Employee 85",42178.311496973,8718.65111053921,50896.9626075123,TRUE
"86","Employee 86",49342.0623801649,6708.40671053156,56050.4690906964,TRUE
"87","Employee 87",43116.1210313439,-2127.60323076509,40988.5178005788,FALSE
"88","Employee 88",41880.263267085,3760.85329568014,45641.1165627651,TRUE
"89","Employee 89",47317.3757339828,2853.09370257892,50170.4694365617,TRUE
"90","Employee 90",40956.7495132796,7363.83665935136,48320.586172631,TRUE
"91","Employee 91",42239.0986653045,-1346.22575016692,40892.8729151376,FALSE
"92","Employee 92",48597.111091949,5696.6666050721,54293.7776970211,TRUE
"93","Employee 93",41168.4056022204,4045.94767023809,45214.3532724585,TRUE
"94","Employee 94",43955.7835436426,8207.57207344286,52163.3556170855,TRUE
"95","Employee 95",43188.4802575223,4821.29856944084,48009.7788269632,TRUE
"96","Employee 96",44911.0468151048,4980.26494635269,49891.3117614575,TRUE
"97","Employee 97",42582.5633620843,-1910.15542834066,40672.4079337437,FALSE
"98","Employee 98",49865.0945723057,-713.090036297217,49152.0045360085,FALSE
"99","Employee 99",41157.9583957791,-274.64417507872,40883.3142207004,FALSE
"100","Employee 100",42610.2388370782,-2364.94071315974,40245.2981239185,FALSE
